iter	Passed	Remaining
937	5574	368
938	5578	362
939	5582	356
940	5586	350
941	5589	344
942	5593	338
943	5598	332
944	5603	326
945	5609	320
946	5618	314
947	5623	308
948	5630	302
949	5639	296
950	5648	291
951	5652	284
952	5665	279
953	5670	273
954	5675	267
955	5679	261
956	5684	255
957	5694	249
958	5698	243
959	5703	237
960	5710	231
961	5716	225
962	5720	219
963	5724	213
964	5728	207
965	5732	201
966	5736	195
967	5741	189
968	5745	183
969	5749	177
970	5752	171
971	5756	165
972	5760	159
973	5764	153
974	5768	147
975	5772	141
976	5776	135
977	5780	130
978	5783	124
979	5787	118
980	5791	112
981	5795	106
982	5799	100
983	5803	94
984	5807	88
985	5811	82
986	5815	76
987	5819	70
988	5822	64
989	5829	58
990	5836	53
991	5841	47
992	5845	41
993	5849	35
994	5853	29
995	5857	23
996	5861	17
997	5864	11
998	5868	5
999	5871	0
